EMOBON_observatory_id,ENA_accesion_number_umbrella,ENA_accesion_number_project
BPNS,PRJEB51688,PRJEB51652
EMT21,PRJEB51688,PRJEB51653
PiEGetxo,PRJEB51688,PRJEB51660
VB,PRJEB51688,PRJEB51664
OOB,PRJEB51688,PRJEB51665
ROSKOGO,PRJEB51688,PRJEB51662
HCMR-1,PRJEB51688,PRJEB51655
IUIEilat1,PRJEB51688,PRJEB51656
NRMCB,PRJEB51688,PRJEB51658
AAOT,PRJEB51688,PRJEB50566
Bergen,PRJEB51688,PRJEB50569
ESC68N,PRJEB51688,PRJEB51654
RFormosa,PRJEB51688,PRJEB51661
OSD74,PRJEB51688,PRJEB51659
MBAL4,PRJEB51688,PRJEB51657
STHVN,PRJEB51688,PRJEB51663
UMF,PRJEB51688,PRJEB57914
