EMOBON_material_sample_id,EMOBON_observatory_id,ENA_accesion_number_project,ENA_accesion_number_umbrella
EMO BON ESC68N Wa 210830 3um (1),ESC68N,PRJEB51654,PRJEB51688
EMO BON ESC68N Wa 210830 3um (2),ESC68N,PRJEB51654,PRJEB51688
EMO BON ESC68N Wa 210830 0.2um (1),ESC68N,PRJEB51654,PRJEB51688
EMO BON ESC68N Wa 210830 0.2um (2),ESC68N,PRJEB51654,PRJEB51688
EMOBON BPNS Wa 210701 3um (1),BPNS,PRJEB51652,PRJEB51688
EMOBON BPNS Wa 210701 3um (2),BPNS,PRJEB51652,PRJEB51688
EMOBON BPNS Wa 210701 0.2um (1),BPNS,PRJEB51652,PRJEB51688
EMOBON BPNS Wa 210701 0.2um (2),BPNS,PRJEB51652,PRJEB51688
EMOBON BPNS Wa 210825 3um (1),BPNS,PRJEB51652,PRJEB51688
EMOBON BPNS Wa 210825 3um (2),BPNS,PRJEB51652,PRJEB51688
EMOBON BPNS Wa 210825 0.2um (1),BPNS,PRJEB51652,PRJEB51688
EMOBON BPNS Wa 210825 0.2um (2),BPNS,PRJEB51652,PRJEB51688
EMO BON ROSKOGO Wa 210618 3um (1),ROSKOGO,PRJEB51662,PRJEB51688
EMO BON ROSKOGO Wa 210618 3um (2),ROSKOGO,PRJEB51662,PRJEB51688
EMO BON ROSKOGO Wa 210618 0.22um (1),ROSKOGO,PRJEB51662,PRJEB51688
EMO BON ROSKOGO Wa 210618 0.22um (2),ROSKOGO,PRJEB51662,PRJEB51688
EMO BON ROSKOGO Wa 210802 3um (1),ROSKOGO,PRJEB51662,PRJEB51688
EMO BON ROSKOGO Wa 210802 3um (2),ROSKOGO,PRJEB51662,PRJEB51688
EMO BON ROSKOGO Wa 210802 0.22um (1),ROSKOGO,PRJEB51662,PRJEB51688
EMO BON ROSKOGO Wa 210802 0.22um (2),ROSKOGO,PRJEB51662,PRJEB51688
EMO BON VB Wa 210621 3um (1),VB,PRJEB51664,PRJEB51688
EMO BON VB Wa 210621 3um (2),VB,PRJEB51664,PRJEB51688
EMO BON VB Wa 210621 0.2um (1),VB,PRJEB51664,PRJEB51688
EMO BON VB Wa 210621 0.2um (2),VB,PRJEB51664,PRJEB51688
EMO BON VB Wa 210823 3um (1),VB,PRJEB51664,PRJEB51688
EMO BON VB Wa 210823 3um (2),VB,PRJEB51664,PRJEB51688
EMO BON VB Wa 210823 0.2um (1),VB,PRJEB51664,PRJEB51688
EMO BON VB Wa 210823 0.2um (2),VB,PRJEB51664,PRJEB51688
EMO BON EMT21 Wa 210825 3um (1),EMT21,PRJEB51653,PRJEB51688
EMO BON EMT21 Wa 210825 3um (2),EMT21,PRJEB51653,PRJEB51688
EMO BON EMT21 Wa 210825 0.2um (1),EMT21,PRJEB51653,PRJEB51688
EMO BON EMT21 Wa 210825 0.2um (2),EMT21,PRJEB51653,PRJEB51688
EMO BON PiEGetxo Wa 210824 3um (1),PiEGetxo,PRJEB51660,PRJEB51688
EMO BON PiEGetxo Wa 210824 3um (2),PiEGetxo,PRJEB51660,PRJEB51688
EMO BON PiEGetxo Wa 210824 0.2um (1),PiEGetxo,PRJEB51660,PRJEB51688
EMO BON PiEGetxo Wa 210824 0.2um (2),PiEGetxo,PRJEB51660,PRJEB51688
EMO BON PiEGetxo Wa 210824 3um (blank),PiEGetxo,PRJEB51660,PRJEB51688
EMO BON PiEGetxo Wa 210824 0.2um (blank),PiEGetxo,PRJEB51660,PRJEB51688
EMO BON RFormosa Wa 210805 3um (1),Rformosa,PRJEB51661,PRJEB51688
EMO BON RFormosa Wa 210805 3um (2),Rformosa,PRJEB51661,PRJEB51688
EMO BON RFormosa Wa 210805 0.2um (1),Rformosa,PRJEB51661,PRJEB51688
EMO BON RFormosa Wa 210805 0.2um (2),Rformosa,PRJEB51661,PRJEB51688
EMOBON OSD74 Wa 310821 3um (1),OSD74,PRJEB51659,PRJEB51688
EMOBON OSD74 Wa 310821 0.2um (1),OSD74,PRJEB51659,PRJEB51688
EMOBON OSD74 Wa 310821 0.2um (2),OSD74,PRJEB51659,PRJEB51688
EMO BON AAOT Wa 210622 3um (1),AAOT,PRJEB50566,PRJEB51688
EMO BON AAOT Wa 210622 3um (2),AAOT,PRJEB50566,PRJEB51688
EMO BON AAOT Wa 210622 0.22um (1),AAOT,PRJEB50566,PRJEB51688
EMO BON AAOT Wa 210622 0.22um (2),AAOT,PRJEB50566,PRJEB51688
