ref_code,source_material_id,EMOBON_observatory_id,ENA_accesion_number_project,ENA_accesion_number_umbrella
EMOBON00001,EMOBON_OOB_So_210608_micro_1,OOB,PRJEB51665,PRJEB51688
EMOBON00003,EMOBON_ESC68N_Wa_210830_3um_1,ESC68N,PRJEB51654,PRJEB51688
EMOBON00004,EMOBON_ESC68N_Wa_210830_3um_2,ESC68N,PRJEB51654,PRJEB51688
EMOBON00005,EMOBON_ESC68N_Wa_210830_0.2um_1,ESC68N,PRJEB51654,PRJEB51688
EMOBON00006,EMOBON_ESC68N_Wa_210830_0.2um_2,ESC68N,PRJEB51654,PRJEB51688
EMOBON00007,EMOBON_BPNS_Wa_210701_3um_1,BPNS,PRJEB51652,PRJEB51688
EMOBON00008,EMOBON_BPNS_Wa_210701_3um_2,BPNS,PRJEB51652,PRJEB51688
EMOBON00009,EMOBON_BPNS_Wa_210701_0.2um_1,BPNS,PRJEB51652,PRJEB51688
EMOBON00010,EMOBON_BPNS_Wa_210701_0.2um_2,BPNS,PRJEB51652,PRJEB51688
EMOBON00011,EMOBON_BPNS_Wa_210825_3um_1,BPNS,PRJEB51652,PRJEB51688
EMOBON00012,EMOBON_BPNS_Wa_210825_3um_2,BPNS,PRJEB51652,PRJEB51688
EMOBON00013,EMOBON_BPNS_Wa_210825_0.2um_1,BPNS,PRJEB51652,PRJEB51688
EMOBON00014,EMOBON_BPNS_Wa_210825_0.2um_2,BPNS,PRJEB51652,PRJEB51688
EMOBON00015,EMOBON_ROSKOGO_Wa_210618_3um_1,ROSKOGO,PRJEB51662,PRJEB51688
EMOBON00016,EMOBON_ROSKOGO_Wa_210618_3um_2,ROSKOGO,PRJEB51662,PRJEB51688
EMOBON00017,EMOBON_ROSKOGO_Wa_210618_0.2um_1,ROSKOGO,PRJEB51662,PRJEB51688
EMOBON00018,EMOBON_ROSKOGO_Wa_210618_0.2um_2,ROSKOGO,PRJEB51662,PRJEB51688
EMOBON00019,EMOBON_ROSKOGO_Wa_210802_3um_1,ROSKOGO,PRJEB51662,PRJEB51688
EMOBON00020,EMOBON_ROSKOGO_Wa_210802_3um_2,ROSKOGO,PRJEB51662,PRJEB51688
EMOBON00021,EMOBON_ROSKOGO_Wa_210802_0.2um_1,ROSKOGO,PRJEB51662,PRJEB51688
EMOBON00022,EMOBON_ROSKOGO_Wa_210802_0.2um_2,ROSKOGO,PRJEB51662,PRJEB51688
EMOBON00023,EMOBON_VB_Wa_210621_3um_1,VB,PRJEB51664,PRJEB51688
EMOBON00024,EMOBON_VB_Wa_210621_3um_2,VB,PRJEB51664,PRJEB51688
EMOBON00025,EMOBON_VB_Wa_210621_0.2um_1,VB,PRJEB51664,PRJEB51688
EMOBON00026,EMOBON_VB_Wa_210621_0.2um_2,VB,PRJEB51664,PRJEB51688
EMOBON00027,EMOBON_VB_Wa_210823_3um_1,VB,PRJEB51664,PRJEB51688
EMOBON00028,EMOBON_VB_Wa_210823_3um_2,VB,PRJEB51664,PRJEB51688
EMOBON00029,EMOBON_VB_Wa_210823_0.2um_1,VB,PRJEB51664,PRJEB51688
EMOBON00030,EMOBON_VB_Wa_210823_0.2um_2,VB,PRJEB51664,PRJEB51688
EMOBON00031,EMOBON_EMT21_Wa_210825_3um_1,EMT21,PRJEB51653,PRJEB51688
EMOBON00032,EMOBON_EMT21_Wa_210825_3um_2,EMT21,PRJEB51653,PRJEB51688
EMOBON00033,EMOBON_EMT21_Wa_210825_0.2um_1,EMT21,PRJEB51653,PRJEB51688
EMOBON00034,EMOBON_EMT21_Wa_210825_0.2um_2,EMT21,PRJEB51653,PRJEB51688
EMOBON00035,EMOBON_PiEGetxo_Wa_210824_3um_1,PiEGetxo,PRJEB51660,PRJEB51688
EMOBON00036,EMOBON_PiEGetxo_Wa_210824_3um_2,PiEGetxo,PRJEB51660,PRJEB51688
EMOBON00037,EMOBON_PiEGetxo_Wa_210824_0.2um_1,PiEGetxo,PRJEB51660,PRJEB51688
EMOBON00038,EMOBON_PiEGetxo_Wa_210824_0.2um_2,PiEGetxo,PRJEB51660,PRJEB51688
EMOBON00039,EMOBON_PiEGetxo_Wa_210824_3um_blank,PiEGetxo,PRJEB51660,PRJEB51688
EMOBON00040,EMOBON_PiEGetxo_Wa_210824_0.2um_blank,PiEGetxo,PRJEB51660,PRJEB51688
EMOBON00041,EMOBON_RFormosa_Wa_210805_3um_1,Rformosa,PRJEB51661,PRJEB51688
EMOBON00042,EMOBON_RFormosa_Wa_210805_3um_2,Rformosa,PRJEB51661,PRJEB51688
EMOBON00043,EMOBON_RFormosa_Wa_210805_0.2um_1,Rformosa,PRJEB51661,PRJEB51688
EMOBON00044,EMOBON_RFormosa_Wa_210805_0.2um_2,Rformosa,PRJEB51661,PRJEB51688
EMOBON00045,EMOBON_OSD74_Wa_310821_3um_1,OSD74,PRJEB51659,PRJEB51688
EMOBON00046,EMOBON_OSD74_Wa_310821_0.2um_1,OSD74,PRJEB51659,PRJEB51688
EMOBON00047,EMOBON_OSD74_Wa_310821_0.2um_2,OSD74,PRJEB51659,PRJEB51688
EMOBON00048,EMOBON_AAOT_Wa_210622_3um_1,AAOT,PRJEB50566,PRJEB51688
EMOBON00049,EMOBON_AAOT_Wa_210622_3um_2,AAOT,PRJEB50566,PRJEB51688
EMOBON00050,EMOBON_AAOT_Wa_210622_0.2um_1,AAOT,PRJEB50566,PRJEB51688
EMOBON00051,EMOBON_AAOT_Wa_210622_0.2um_2,AAOT,PRJEB50566,PRJEB51688
EMOBON00052,EMOBON_AAOT_Wa_210908_3um_1,AAOT,PRJEB50566,PRJEB51688
EMOBON00053,EMOBON_AAOT_Wa_210908_3um_2,AAOT,PRJEB50566,PRJEB51688
EMOBON00054,EMOBON_AAOT_Wa_210908_0.2um_1,AAOT,PRJEB50566,PRJEB51688
EMOBON00055,EMOBON_AAOT_Wa_210908_0.2um_2,AAOT,PRJEB50566,PRJEB51688
EMOBON00056,EMOBON_NRMCB_Wa_210621_3um_1,NRMCB,PRJEB51658,PRJEB51688
EMOBON00057,EMOBON_NRMCB_Wa_210621_3um_2,NRMCB,PRJEB51658,PRJEB51688
EMOBON00059,EMOBON_NRMCB_Wa_210621_0.2um_1,NRMCB,PRJEB51658,PRJEB51688
EMOBON00060,EMOBON_NRMCB_Wa_210621_0.2um_2,NRMCB,PRJEB51658,PRJEB51688
EMOBON00062,EMOBON_NRMCB_Wa_210831_3um_1,NRMCB,PRJEB51658,PRJEB51688
EMOBON00063,EMOBON_NRMCB_Wa_210831_3um_2,NRMCB,PRJEB51658,PRJEB51688
EMOBON00064,EMOBON_NRMCB_Wa_210831_3um_blank,NRMCB,PRJEB51658,PRJEB51688
EMOBON00065,EMOBON_NRMCB_Wa_210831_0.2um_1,NRMCB,PRJEB51658,PRJEB51688
EMOBON00066,EMOBON_NRMCB_Wa_210831_0.2um_2,NRMCB,PRJEB51658,PRJEB51688
EMOBON00067,EMOBON_NRMCB_Wa_210831_0.2um_blank,NRMCB,PRJEB51658,PRJEB51688
EMOBON00068,EMOBON_HCMR-1_Wa_210628_3um_1,HCMR-1,PRJEB51655,PRJEB51688
EMOBON00069,EMOBON_HCMR-1_Wa_210628_3um_2,HCMR-1,PRJEB51655,PRJEB51688
EMOBON00071,EMOBON_HCMR-1_Wa_210628_0.2um_1,HCMR-1,PRJEB51655,PRJEB51688
EMOBON00072,EMOBON_HCMR-1_Wa_210628_0.2um_2,HCMR-1,PRJEB51655,PRJEB51688
EMOBON00074,EMOBON_HCMR-1_Wa_210917_3um_1,HCMR-1,PRJEB51655,PRJEB51688
EMOBON00075,EMOBON_HCMR-1_Wa_210917_3um_2,HCMR-1,PRJEB51655,PRJEB51688
EMOBON00076,EMOBON_HCMR-1_Wa_210917_3um_blank,HCMR-1,PRJEB51655,PRJEB51688
EMOBON00077,EMOBON_HCMR-1_Wa_210917_0.2um_1,HCMR-1,PRJEB51655,PRJEB51688
EMOBON00078,EMOBON_HCMR-1_Wa_210917_0.2um_2,HCMR-1,PRJEB51655,PRJEB51688
EMOBON00079,EMOBON_HCMR-1_Wa_210917_0.2um_blank,HCMR-1,PRJEB51655,PRJEB51688
