source_material_id,ref_code,ref_code_seq,ena_accession_number_sample,ena_accession_number_project,ena_accession_number_umbrella,biosamples_accession_number
EMOBON_BPNS_Wa_210701_3um_1,EMOBON00007,DBB_AACS,ERS16590011,PRJEB51652,PRJEB51688,SAMEA114561118
EMOBON_BPNS_Wa_210701_3um_2,EMOBON00008,DBB_AACT,ERS16590012,PRJEB51652,PRJEB51688,SAMEA114561119
EMOBON_BPNS_Wa_210701_0.2um_2,EMOBON00009,DBB_AACU,ERS16590013,PRJEB51652,PRJEB51688,SAMEA114561120
EMOBON_BPNS_Wa_210701_0.2um_1,EMOBON00010,DBB_AACV,ERS16590014,PRJEB51652,PRJEB51688,SAMEA114561121
EMOBON_BPNS_Wa_210825_3um_1,EMOBON00011,DBB_AACW,ERS16590015,PRJEB51652,PRJEB51688,SAMEA114561122
EMOBON_BPNS_Wa_210825_3um_2,EMOBON00012,DBB_AACX,ERS16590016,PRJEB51652,PRJEB51688,SAMEA114561123
EMOBON_BPNS_Wa_210825_0.2um_1,EMOBON00013,DBB_AACY,ERS16590017,PRJEB51652,PRJEB51688,SAMEA114561124
EMOBON_BPNS_Wa_210825_0.2um_2,EMOBON00014,DBB_AACE,ERS16590018,PRJEB51652,PRJEB51688,SAMEA114561125
EMOBON_BPNS_So_210726_micro_1,EMOBON00084,DBH_AAAN,ERS16590019,PRJEB51652,PRJEB51688,SAMEA114561126
EMOBON_BPNS_So_210726_micro_2,EMOBON00085,DBH_AAAO,ERS16590020,PRJEB51652,PRJEB51688,SAMEA114561127
EMOBON_BPNS_So_210825_micro_1,EMOBON00086,DBH_AAAD,ERS16590021,PRJEB51652,PRJEB51688,SAMEA114561128
