old_source_mat_id,ref_code,ref_code_seq,ena_accession_number_sample,ena_accession_number_experiment_metag,ena_accession_number_run_metag,ena_accession_number_project,ena_accession_number_umbrella,biosamples_accession_number,source_mat_id
EMOBON_BPNS_So_211028_micro_1,EMOBON00140,,ERS20535373,,,PRJEB51652,PRJEB51688,SAMEA115809362,EMOBON_BPNS_So_17
EMOBON_BPNS_So_211028_micro_2,EMOBON00141,,ERS20535374,,,PRJEB51652,PRJEB51688,SAMEA115809363,EMOBON_BPNS_So_18
EMOBON_BPNS_So_211223_micro_1,EMOBON00142,,ERS20535375,,,PRJEB51652,PRJEB51688,SAMEA115809364,EMOBON_BPNS_So_33
EMOBON_BPNS_So_211223_micro_2,EMOBON00143,,ERS20535376,,,PRJEB51652,PRJEB51688,SAMEA115809365,EMOBON_BPNS_So_34
EMOBON_NRMCB_So_211026_micro_1,EMOBON00236,,ERS20535391,,,PRJEB51658,PRJEB51688,SAMEA115809380,EMOBON_NRMCB_So_11
EMOBON_NRMCB_So_211026_micro_2,EMOBON00237,,ERS20535392,,,PRJEB51658,PRJEB51688,SAMEA115809381,EMOBON_NRMCB_So_12
EMOBON_NRMCB_So_211221_micro_1,EMOBON00238,,ERS20535393,,,PRJEB51658,PRJEB51688,SAMEA115809382,EMOBON_NRMCB_So_16
EMOBON_NRMCB_So_211221_micro_2,EMOBON00239,,ERS20535394,,,PRJEB51658,PRJEB51688,SAMEA115809383,EMOBON_NRMCB_So_17
EMOBON_OOB_So_211209_micro_1,EMOBON00242,,ERS20535384,,,PRJEB51665,PRJEB51688,SAMEA115809373,EMOBON_OOB_So_25
EMOBON_OOB_So_211209_micro_2,EMOBON00243,,ERS20535385,,,PRJEB51665,PRJEB51688,SAMEA115809374,EMOBON_OOB_So_26
EMOBON_RFormosa_So_211022_micro_1,EMOBON00224,,ERS20535379,,,PRJEB51661,PRJEB51688,SAMEA115809368,EMOBON_RFormosa_So_6
EMOBON_RFormosa_So_211022_micro_2,EMOBON00225,,ERS20535380,,,PRJEB51661,PRJEB51688,SAMEA115809369,EMOBON_RFormosa_So_7
EMOBON_RFormosa_So_211220_micro_1,EMOBON00226,,ERS20535381,,,PRJEB51661,PRJEB51688,SAMEA115809370,EMOBON_RFormosa_So_11
EMOBON_RFormosa_So_211220_micro_2,EMOBON00227,,ERS20535382,,,PRJEB51661,PRJEB51688,SAMEA115809371,EMOBON_RFormosa_So_12
EMOBON_ROSKOGO_So_211119_micro_1,EMOBON00192,,ERS20535369,,,PRJEB51662,PRJEB51688,SAMEA115809358,EMOBON_ROSKOGO_So_16
EMOBON_ROSKOGO_So_211119_micro_2,EMOBON00193,,ERS20535370,,,PRJEB51662,PRJEB51688,SAMEA115809359,EMOBON_ROSKOGO_So_17
EMOBON_ROSKOGO_So_211222_micro_1,EMOBON00194,,ERS20535371,,,PRJEB51662,PRJEB51688,SAMEA115809360,EMOBON_ROSKOGO_So_21
EMOBON_ROSKOGO_So_211222_micro_2,EMOBON00195,,ERS20535372,,,PRJEB51662,PRJEB51688,SAMEA115809361,EMOBON_ROSKOGO_So_22
EMOBON_AAOT_Wa_211015_0.2um_1,EMOBON00164,,ERS20568999,,,PRJEB50566,PRJEB51688,SAMEA115828482,EMOBON_AAOT_Wa_46
EMOBON_AAOT_Wa_211015_0.2um_2,EMOBON00165,,ERS20569000,,,PRJEB50566,PRJEB51688,SAMEA115828483,EMOBON_AAOT_Wa_47
EMOBON_AAOT_Wa_211015_3um_1,EMOBON00162,,ERS20568997,,,PRJEB50566,PRJEB51688,SAMEA115828480,EMOBON_AAOT_Wa_41
EMOBON_AAOT_Wa_211015_3um_2,EMOBON00163,,ERS20568998,,,PRJEB50566,PRJEB51688,SAMEA115828481,EMOBON_AAOT_Wa_42
EMOBON_AAOT_Wa_211214_0.2um_1,EMOBON00168,,ERS20569003,,,PRJEB50566,PRJEB51688,SAMEA115828486,EMOBON_AAOT_Wa_66
EMOBON_AAOT_Wa_211214_0.2um_2,EMOBON00169,,ERS20569004,,,PRJEB50566,PRJEB51688,SAMEA115828487,EMOBON_AAOT_Wa_67
EMOBON_AAOT_Wa_211214_3um_1,EMOBON00166,,ERS20569001,,,PRJEB50566,PRJEB51688,SAMEA115828484,EMOBON_AAOT_Wa_61
EMOBON_AAOT_Wa_211214_3um_2,EMOBON00167,,ERS20569002,,,PRJEB50566,PRJEB51688,SAMEA115828485,EMOBON_AAOT_Wa_62
EMOBON_BPNS_Wa_211028_0.2um_1,EMOBON00132,,ERS20568939,,,PRJEB51652,PRJEB51688,SAMEA115828422,EMOBON_BPNS_Wa_46
EMOBON_BPNS_Wa_211028_0.2um_2,EMOBON00133,,ERS20568940,,,PRJEB51652,PRJEB51688,SAMEA115828423,EMOBON_BPNS_Wa_47
EMOBON_BPNS_Wa_211028_3um_1,EMOBON00130,,ERS20568937,,,PRJEB51652,PRJEB51688,SAMEA115828420,EMOBON_BPNS_Wa_41
EMOBON_BPNS_Wa_211028_3um_2,EMOBON00131,,ERS20568938,,,PRJEB51652,PRJEB51688,SAMEA115828421,EMOBON_BPNS_Wa_42
EMOBON_BPNS_Wa_211223_0.2um_1,EMOBON00138,,ERS20568943,,,PRJEB51652,PRJEB51688,SAMEA115828426,EMOBON_BPNS_Wa_66
EMOBON_BPNS_Wa_211223_0.2um_2,EMOBON00139,,ERS20568944,,PRJEB51652,PRJEB51688,SAMEA115828427,EMOBON_BPNS_Wa_67
EMOBON_BPNS_Wa_211223_3um_1,EMOBON00136,,ERS20568941,,PRJEB51652,PRJEB51688,SAMEA115828424,EMOBON_BPNS_Wa_61
EMOBON_BPNS_Wa_211223_3um_2,EMOBON00137,,ERS20568942,,PRJEB51652,PRJEB51688,SAMEA115828425,EMOBON_BPNS_Wa_62
EMOBON_EMT21_Wa_211020_0.2um_1,EMOBON00146,,ERS20569036,,PRJEB51653,PRJEB51688,SAMEA115828519,EMOBON_EMT21_Wa_21
EMOBON_EMT21_Wa_211020_0.2um_2,EMOBON00147,,ERS20569037,,PRJEB51653,PRJEB51688,SAMEA115828520,EMOBON_EMT21_Wa_22
EMOBON_EMT21_Wa_211020_3um_1,EMOBON00144,,ERS20569034,,PRJEB51653,PRJEB51688,SAMEA115828517,EMOBON_EMT21_Wa_16
EMOBON_EMT21_Wa_211020_3um_2,EMOBON00145,,ERS20569035,,PRJEB51653,PRJEB51688,SAMEA115828518,EMOBON_EMT21_Wa_17
EMOBON_EMT21_Wa_211216_0.2um_1,EMOBON00150,,ERS20569040,,PRJEB51653,PRJEB51688,SAMEA115828523,EMOBON_EMT21_Wa_36
EMOBON_EMT21_Wa_211216_0.2um_2,EMOBON00151,,ERS20569041,,PRJEB51653,PRJEB51688,SAMEA115828524,EMOBON_EMT21_Wa_37
EMOBON_EMT21_Wa_211216_3um_1,EMOBON00148,,ERS20569038,,PRJEB51653,PRJEB51688,SAMEA115828521,EMOBON_EMT21_Wa_31
EMOBON_EMT21_Wa_211216_3um_2,EMOBON00149,,ERS20569039,,PRJEB51653,PRJEB51688,SAMEA115828522,EMOBON_EMT21_Wa_32
EMOBON_ESC68N_Wa_211104_0.2um_2,EMOBON00199,,ERS20569062,,PRJEB51654,PRJEB51688,SAMEA115828545,EMOBON_ESC68N_Wa_14
EMOBON_ESC68N_Wa_211104_3um_1,EMOBON00196,,ERS20569061,,PRJEB51654,PRJEB51688,SAMEA115828544,EMOBON_ESC68N_Wa_11
EMOBON_IUIEilat1_Wa_211018_0.2um_1,EMOBON00120,,ERS20568977,,PRJEB51656,PRJEB51688,SAMEA115828460,EMOBON_IUIEilat_Wa_11
EMOBON_IUIEilat1_Wa_211018_0.2um_2,EMOBON00121,,ERS20568978,,PRJEB51656,PRJEB51688,SAMEA115828461,EMOBON_IUIEilat_Wa_12
EMOBON_IUIEilat1_Wa_211018_3um_1,EMOBON00122,,ERS20568979,,PRJEB51656,PRJEB51688,SAMEA115828462,EMOBON_IUIEilat_Wa_15
EMOBON_IUIEilat1_Wa_211018_3um_2,EMOBON00123,,ERS20568980,,PRJEB51656,PRJEB51688,SAMEA115828463,EMOBON_IUIEilat_Wa_16
EMOBON_IUIEilat1_Wa_211219_0.2um_1,EMOBON00124,,ERS20568981,,PRJEB51656,PRJEB51688,SAMEA115828464,EMOBON_IUIEilat_Wa_21
EMOBON_IUIEilat1_Wa_211219_0.2um_2,EMOBON00125,,ERS20568982,,PRJEB51656,PRJEB51688,SAMEA115828465,EMOBON_IUIEilat_Wa_22
EMOBON_IUIEilat1_Wa_211219_3um_1,EMOBON00126,,ERS20568983,,PRJEB51656,PRJEB51688,SAMEA115828466,EMOBON_IUIEilat_Wa_25
EMOBON_IUIEilat1_Wa_211219_3um_2,EMOBON00127,,ERS20568984,,PRJEB51656,PRJEB51688,SAMEA115828467,EMOBON_IUIEilat_Wa_26
EMOBON_MBAL4_Wa_211103_0.2um_1,EMOBON00156,,ERS20569065,,PRJEB51657,PRJEB51688,SAMEA115828548,EMOBON_MBAL4_Wa_3
EMOBON_MBAL4_Wa_211103_0.2um_2,EMOBON00157,,ERS20569066,,PRJEB51657,PRJEB51688,SAMEA115828549,EMOBON_MBAL4_Wa_4
EMOBON_MBAL4_Wa_211103_3um_1,EMOBON00154,,ERS20569063,,PRJEB51657,PRJEB51688,SAMEA115828546,EMOBON_MBAL4_Wa_1
EMOBON_MBAL4_Wa_211103_3um_2,EMOBON00155,,ERS20569064,,PRJEB51657,PRJEB51688,SAMEA115828547,EMOBON_MBAL4_Wa_2
EMOBON_MBAL4_Wa_211216_0.2um_1,EMOBON00160,,ERS20569069,,PRJEB51657,PRJEB51688,SAMEA115828552,EMOBON_MBAL4_Wa_13
EMOBON_MBAL4_Wa_211216_0.2um_2,EMOBON00161,,ERS20569070,,PRJEB51657,PRJEB51688,SAMEA115828553,EMOBON_MBAL4_Wa_14
EMOBON_MBAL4_Wa_211216_3um_1,EMOBON00158,,ERS20569067,,PRJEB51657,PRJEB51688,SAMEA115828550,EMOBON_MBAL4_Wa_11
EMOBON_MBAL4_Wa_211216_3um_2,EMOBON00159,,ERS20569068,,PRJEB51657,PRJEB51688,SAMEA115828551,EMOBON_MBAL4_Wa_12
EMOBON_NRMCB_Wa_211026_0.2um_1,EMOBON00230,,ERS20568967,,PRJEB51658,PRJEB51688,SAMEA115828450,EMOBON_NRMCB_Wa_48
EMOBON_NRMCB_Wa_211026_0.2um_2,EMOBON00231,,ERS20568968,,PRJEB51658,PRJEB51688,SAMEA115828451,EMOBON_NRMCB_Wa_49
