ref_code,source_material_id
EMOBON00120,EMOBON_IUIEilat1_Wa_211018_0.2um_1
EMOBON00121,EMOBON_IUIEilat1_Wa_211018_0.2um_2
EMOBON00122,EMOBON_IUIEilat1_Wa_211018_3um_1
EMOBON00123,EMOBON_IUIEilat1_Wa_211018_3um_2
EMOBON00124,EMOBON_IUIEilat1_Wa_211219_0.2um_1
EMOBON00125,EMOBON_IUIEilat1_Wa_211219_0.2um_2
EMOBON00126,EMOBON_IUIEilat1_Wa_211219_3um_1
EMOBON00127,EMOBON_IUIEilat1_Wa_211219_3um_2
EMOBON00128,EMOBON_IUIEilat1_Wa_211219_0.2um_blank
EMOBON00129,EMOBON_IUIEilat1_Wa_211219_3um_blank
EMOBON00130,EMOBON_BPNS_Wa_211028_3um_1
EMOBON00131,EMOBON_BPNS_Wa_211028_3um_2
EMOBON00132,EMOBON_BPNS_Wa_211028_0.2um_1
EMOBON00133,EMOBON_BPNS_Wa_211028_0.2um_2
EMOBON00134,EMOBON_BPNS_Wa_211028_3um_blank
EMOBON00135,EMOBON_BPNS_Wa_211028_0.2um_blank
EMOBON00136,EMOBON_BPNS_Wa_211223_3um_1
EMOBON00137,EMOBON_BPNS_Wa_211223_3um_2
EMOBON00138,EMOBON_BPNS_Wa_211223_0.2um_1
EMOBON00139,EMOBON_BPNS_Wa_211223_0.2um_2
EMOBON00140,EMOBON_BPNS_So_211028_micro_1
EMOBON00141,EMOBON_BPNS_So_211028_micro_2
EMOBON00142,EMOBON_BPNS_So_211223_micro_1
EMOBON00143,EMOBON_BPNS_So_211223_micro_2
EMOBON00144,EMOBON_EMT21_Wa_211020_3um_1
EMOBON00145,EMOBON_EMT21_Wa_211020_3um_2
EMOBON00146,EMOBON_EMT21_Wa_211020_0.2um_1
EMOBON00147,EMOBON_EMT21_Wa_211020_0.2um_2
EMOBON00148,EMOBON_EMT21_Wa_211216_3um_1
EMOBON00149,EMOBON_EMT21_Wa_211216_3um_2
EMOBON00150,EMOBON_EMT21_Wa_211216_0.2um_1
EMOBON00151,EMOBON_EMT21_Wa_211216_0.2um_2
EMOBON00152,EMOBON_EMT21_Wa_211216_0.2um_blank
EMOBON00153,EMOBON_EMT21_Wa_211216_3um_blank
EMOBON00154,EMOBON_MBAL4_Wa_211103_3um_1
EMOBON00155,EMOBON_MBAL4_Wa_211103_3um_2
EMOBON00156,EMOBON_MBAL4_Wa_211103_0.2um_1
EMOBON00157,EMOBON_MBAL4_Wa_211103_0.2um_2
EMOBON00158,EMOBON_MBAL4_Wa_211216_3um_1
EMOBON00159,EMOBON_MBAL4_Wa_211216_3um_2
EMOBON00160,EMOBON_MBAL4_Wa_211216_0.2um_1
EMOBON00161,EMOBON_MBAL4_Wa_211216_0.2um_2
EMOBON00162,EMOBON_AAOT_Wa_211015_3um_1
EMOBON00163,EMOBON_AAOT_Wa_211015_3um_2
EMOBON00164,EMOBON_AAOT_Wa_211015_0.2um_1
EMOBON00165,EMOBON_AAOT_Wa_211015_0.2um_2
EMOBON00166,EMOBON_AAOT_Wa_211214_3um_1
EMOBON00167,EMOBON_AAOT_Wa_211214_3um_2
EMOBON00168,EMOBON_AAOT_Wa_211214_0.2um_1
EMOBON00169,EMOBON_AAOT_Wa_211214_0.2um_2
EMOBON00170,EMOBON_AAOT_Wa_211214_3um_blank
EMOBON00171,EMOBON_AAOT_Wa_211214_0.2um_blank
EMOBON00172,EMOBON_VB_Wa_211018_3um_1
EMOBON00173,EMOBON_VB_Wa_211018_3um_2
EMOBON00174,EMOBON_VB_Wa_211018_3um_blank
EMOBON00175,EMOBON_VB_Wa_211018_0.2um_1
EMOBON00176,EMOBON_VB_Wa_211018_0.2um_2
EMOBON00177,EMOBON_VB_Wa_211018_0.2um_blank
EMOBON00178,EMOBON_VB_Wa_211217_3um_1
EMOBON00179,EMOBON_VB_Wa_211217_3um_2
EMOBON00180,EMOBON_VB_Wa_211217_0.2um_1
EMOBON00181,EMOBON_VB_Wa_211217_0.2um_2
EMOBON00182,EMOBON_ROSKOGO_Wa_211014_3um_1
EMOBON00183,EMOBON_ROSKOGO_Wa_211014_3um_2
EMOBON00184,EMOBON_ROSKOGO_Wa_211014_0.2um_1
EMOBON00185,EMOBON_ROSKOGO_Wa_211014_0.2um_2
EMOBON00186,EMOBON_ROSKOGO_Wa_211014_3um_blank
EMOBON00187,EMOBON_ROSKOGO_Wa_211014_0.2um_blank
EMOBON00188,EMOBON_ROSKOGO_Wa_211213_3um_1
EMOBON00189,EMOBON_ROSKOGO_Wa_211213_3um_2
EMOBON00190,EMOBON_ROSKOGO_Wa_211213_0.2um_1
EMOBON00191,EMOBON_ROSKOGO_Wa_211213_0.2um_2
EMOBON00192,EMOBON_ROSKOGO_So_211119_micro_1
EMOBON00193,EMOBON_ROSKOGO_So_211119_micro_2
