ref_code,source_material_id_orig,source_material_id
EMOBON00269,EMOBON_BPNS_Wa_220322_3um_1,EMOBON_BPNS_Wa_81
EMOBON00270,EMOBON_BPNS_Wa_220322_3um_2,EMOBON_BPNS_Wa_82
EMOBON00271,EMOBON_BPNS_Wa_220322_0.2um_1,EMOBON_BPNS_Wa_86
EMOBON00272,EMOBON_BPNS_Wa_220322_0.2um_2,EMOBON_BPNS_Wa_87
EMOBON00273,EMOBON_BPNS_Wa_220420_3um_1,EMOBON_BPNS_Wa_101
EMOBON00274,EMOBON_BPNS_Wa_220420_3um_2,EMOBON_BPNS_Wa_102
EMOBON00275,EMOBON_BPNS_Wa_220420_0.2um_1,EMOBON_BPNS_Wa_106
EMOBON00276,EMOBON_BPNS_Wa_220420_0.2um_2,EMOBON_BPNS_Wa_107
EMOBON00277,EMOBON_BPNS_Wa_220601_3um_1,EMOBON_BPNS_Wa_121
EMOBON00278,EMOBON_BPNS_Wa_220601_3um_2,EMOBON_BPNS_Wa_122
EMOBON00279,EMOBON_BPNS_Wa_220601_0.2um_1,EMOBON_BPNS_Wa_126
EMOBON00280,EMOBON_BPNS_Wa_220601_0.2um_2,EMOBON_BPNS_Wa_127
EMOBON00281,EMOBON_BPNS_Wa_220819_3um_1,EMOBON_BPNS_Wa_141
EMOBON00282,EMOBON_BPNS_Wa_220819_3um_2,EMOBON_BPNS_Wa_142
EMOBON00283,EMOBON_BPNS_Wa_220819_0.2um_1,EMOBON_BPNS_Wa_146
EMOBON00284,EMOBON_BPNS_Wa_220819_0.2um_2,EMOBON_BPNS_Wa_147
EMOBON00285,EMOBON_BPNS_So_220322_micro_1,EMOBON_BPNS_So_39
EMOBON00286,EMOBON_BPNS_So_220322_micro_2,EMOBON_BPNS_So_40
EMOBON00287,EMOBON_BPNS_So_220420_micro_1,EMOBON_BPNS_So_45
EMOBON00288,EMOBON_BPNS_So_220420_micro_2,EMOBON_BPNS_So_46
EMOBON00289,EMOBON_BPNS_So_220601_micro_1,EMOBON_BPNS_So_61
EMOBON00290,EMOBON_BPNS_So_220601_micro_2,EMOBON_BPNS_So_62
EMOBON00291,EMOBON_EMT21_Wa_220225_3um_1,EMOBON_EMT21_Wa_46
EMOBON00292,EMOBON_EMT21_Wa_220225_3um_2,EMOBON_EMT21_Wa_47
EMOBON00293,EMOBON_EMT21_Wa_220225_0.2um_1,EMOBON_EMT21_Wa_51
EMOBON00294,EMOBON_EMT21_Wa_220225_0.2um_2,EMOBON_EMT21_Wa_52
EMOBON00295,EMOBON_EMT21_Wa_220420_3um_1,EMOBON_EMT21_Wa_61
EMOBON00296,EMOBON_EMT21_Wa_220420_3um_2,EMOBON_EMT21_Wa_62
EMOBON00297,EMOBON_EMT21_Wa_220420_0.2um_1,EMOBON_EMT21_Wa_66
EMOBON00298,EMOBON_EMT21_Wa_220420_0.2um_2,EMOBON_EMT21_Wa_67
EMOBON00299,EMOBON_EMT21_Wa_220824_3um_1,EMOBON_EMT21_Wa_91
